投点个数,均值,方差
5,0.28,0.03759999999999999
10,0.21999999999999997,0.0166
20,0.24499999999999997,0.009224999999999997
30,0.2633333333333333,0.004988888888888888
40,0.23500000000000001,0.0024625000000000007
50,0.267,0.003491000000000001
60,0.2525,0.0032576388888888885
70,0.2592857142857143,0.002291326530612245
80,0.25875000000000004,0.0034390624999999994
100,0.2385,0.0013227500000000001
200,0.24875000000000008,0.0013071875000000002
500,0.24589999999999995,0.0004025900000000001
1000,0.2501999999999999,0.00016856000000000005
